group,precision,model,exact,axis,peak,control,dt,integrator,contacts,failed,trace,step_us,closure_max_mm,closure_rms_mm,settled_closure_mm,aperture_peak_mm,aperture_pp_mm,aperture_recovery_mm,pad_peak_mm,weld_angle_max_deg,equality_work_J,equality_abs_work_J,iterations_mean,contact_count_max
baseline,double,shadow,1,2,50,128,0.002,implicitfast,0,False,double_shadow_e1_a2_p50_c128_h0.002_implicitfast_contact0.csv,4.02589488888889,0.45890620923500003,0.38744922571929874,0.38620063526042997,0.09145638614499463,0.17748794769999882,-3.402619228043413e-07,0.05399878946016748,0.5242756855638679,-0.0012294485859050581,0.020359080255924266,1.0,0
scale1,double,connect,0,0,0,128,0.002,implicitfast,0,False,double_connect_e0_a0_p0_c128_h0.002_implicitfast_contact0.csv,2.638168444444444,0.004096245110159999,0.004096245109834178,0.004096244623274999,3.4625199235582826e-07,0.0,-3.4625197847804046e-07,1.8069879936981176e-07,0.0,-9.006385743010371e-16,1.7191119740602287e-13,0.8130934532733634,0
scale1,double,connect,0,0,10,128,0.002,implicitfast,0,False,double_connect_e0_a0_p10_c128_h0.002_implicitfast_contact0.csv,2.6655773333333332,0.0046740890064000005,0.0044667907950120935,0.004096244623274999,4.16051991469768e-07,4.909000012043307e-07,-3.4625197847804046e-07,0.001298526076890896,0.0,-1.2776801538127586e-05,2.4937925662286732e-05,1.0,0
scale1,double,connect,0,0,50,128,0.002,implicitfast,0,False,double_connect_e0_a0_p50_c128_h0.002_implicitfast_contact0.csv,2.641339111111111,0.0070506740204,0.006036647531941314,0.004096244623274999,9.876248006912558e-06,1.1976799996205045e-05,-3.4625197847804046e-07,0.006495988905584311,0.0,-0.0003187071842248416,0.0006221849574359863,1.0,0
scale1,double,connect,0,2,10,128,0.002,implicitfast,0,False,double_connect_e0_a2_p10_c128_h0.002_implicitfast_contact0.csv,2.6267315555555553,0.00427237247727,0.004098426620810382,0.004096244623274999,0.006676490151992509,0.013351893600001274,-3.446965352038589e-07,0.0034818552809219847,0.0,1.2457753572531418e-07,5.190058970785412e-05,1.0,0
scale1,double,connect,0,2,50,128,0.002,implicitfast,0,False,double_connect_e0_a2_p50_c128_h0.002_implicitfast_contact0.csv,2.6690511111111115,0.00498548791068,0.004150660746114448,0.004096244623274999,0.033390207448011355,0.06675950030000238,-3.3833814222505865e-07,0.017414508253873532,0.0,3.112713245702837e-06,0.0002594866750215293,1.0,0
scale1,double,connect,1,0,0,128,0.002,implicitfast,0,False,double_connect_e1_a0_p0_c128_h0.002_implicitfast_contact0.csv,2.689102888888889,0.011706647728499999,0.011706647728268967,0.011706647330962,3.4629300121880036e-07,0.0,-3.4629302203548207e-07,1.804677188547761e-07,0.0,3.6090332090252344e-16,1.0989397849883182e-13,0.8070964517741129,0
scale1,double,connect,1,0,10,128,0.002,implicitfast,0,False,double_connect_e1_a0_p10_c128_h0.002_implicitfast_contact0.csv,2.8217166666666667,0.0131790185645,0.012651589190958374,0.011706647330962,6.212930031557207e-07,7.089000012006075e-07,-3.4629302203548207e-07,0.0018768636563385262,0.0,-2.221213723637426e-05,4.3381474320530244e-05,1.0,0
scale1,double,connect,1,0,50,128,0.002,implicitfast,0,False,double_connect_e1_a0_p50_c128_h0.002_implicitfast_contact0.csv,2.7264857777777776,0.0190904720681,0.016560173553107696,0.011706647330962,1.0146606999050789e-05,1.7364000001740543e-05,-3.4629302203548207e-07,0.00938870681948535,0.0,-0.0005545327007852824,0.0010831914301686913,1.0,0
scale1,double,connect,1,2,10,128,0.002,implicitfast,0,False,double_connect_e1_a2_p10_c128_h0.002_implicitfast_contact0.csv,2.5689764444444445,0.012146544601800001,0.011710903799313752,0.011706647330962,0.006886550893002441,0.013772194599998011,-3.4469697929306875e-07,0.00360170525606787,0.0,-7.715919479679317e-07,0.00013156458387178293,1.0,0
